timestamp,value
1487417688775 ,3
1487417988794 ,4
1487418288792 ,3
1487418588803 ,3
1487418888849 ,1
1487419188861 ,4
1487419488877 ,2
1487419788874 ,5
1487420088848 ,3
1487420388900 ,5
1487420688861 ,2
1487420988874 ,2
1487421288875 ,5
1487421588883 ,2
1487421888894 ,3
1487422188904 ,3
1487422488918 ,4
1487422788920 ,3
1487423088926 ,3
1487423388934 ,8
1487423688943 ,3
1487423988950 ,4
1487424288960 ,5
1487424588974 ,2
1487424888980 ,1
1487425188986 ,2
1487425488994 ,6
1487425789002 ,3
1487426089009 ,2
1487426389300 ,-1
1487426689028 ,57
1487426989034 ,47
1487427293748 ,-1
1487427589054 ,-1
1487427889059 ,63
1487428189069 ,2
1487428489077 ,2
1487428789092 ,45
1487429089100 ,48
1487429389101 ,0
1487429689110 ,4
1487429989117 ,2
1487430289127 ,6
1487430589144 ,4
1487430889142 ,5
1487431189151 ,6
1487431489160 ,7
1487431789169 ,3
1487432089476 ,2
1487432389184 ,2
1487432689191 ,3
1487432989200 ,2
1487433289210 ,2
1487433589220 ,1
1487433889225 ,2
1487434189233 ,2
1487434489244 ,2
1487434789250 ,2
1487435089262 ,2
1487435389265 ,1
1487435689275 ,1
1487435989289 ,0
1487436289293 ,3
1487436589303 ,2
1487436889309 ,2
1487437189638 ,2
1487437489329 ,3
1487437789333 ,2
1487438089342 ,1
1487438389353 ,1
1487438689362 ,3
1487438989366 ,2
1487439289379 ,2
1487439589388 ,2
1487439889399 ,1
1487440189403 ,0
1487440489411 ,0
1487440789417 ,0
1487441089427 ,1
1487441389434 ,1
1487441689443 ,0
1487441989451 ,0
1487442289460 ,0
1487442589468 ,1
1487442889475 ,1
1487443189484 ,0
1487443489492 ,0
1487443789499 ,0
1487444089510 ,0
1487444389520 ,1
1487444689530 ,0
1487444989534 ,1
1487445289545 ,1
1487445589551 ,1
1487445889559 ,1
1487446189567 ,2
1487446489577 ,1
1487446789583 ,1
1487447089596 ,0
1487447389601 ,0
1487447689608 ,0
1487447989617 ,0
1487448289630 ,0
1487448589635 ,1
1487448889644 ,0
1487449189653 ,0
1487449489675 ,1
1487449789672 ,0
1487450089676 ,0
1487450389705 ,0
1487450689706 ,0
1487450989701 ,0
1487451289710 ,0
1487451589720 ,0
1487451889729 ,0
1487452189733 ,0
1487452489742 ,1
1487452789785 ,0
1487453089782 ,0
1487453389770 ,0
1487453689780 ,0
1487453989902 ,0
1487454289800 ,0
1487454589800 ,0
1487454889810 ,1
1487455189866 ,0
1487455489843 ,1
1487455789834 ,1
1487456089843 ,0
1487456389851 ,0
1487456689860 ,0
1487456989867 ,0
1487457289878 ,0
1487457589884 ,0
1487457889897 ,0
1487458189900 ,1
1487458489909 ,0
1487458789918 ,0
1487459089977 ,0
1487459389953 ,1
1487459689944 ,1
1487459989955 ,1
1487460289960 ,1
1487460589979 ,1
1487460889977 ,1
1487461189989 ,1
1487461489997 ,1
1487461790000 ,0
1487462090010 ,1
1487462390018 ,1
1487462690029 ,1
1487462990036 ,1
1487463290047 ,1
1487463590052 ,6
1487463890064 ,1
1487464190093 ,1
1487464490096 ,0
1487464790105 ,1
1487465090106 ,1
1487465390103 ,1
1487465690127 ,0
1487465990123 ,0
1487466290130 ,0
1487466590138 ,2
1487466890146 ,1
1487467190153 ,1
1487467490181 ,1
1487467790169 ,1
