HTTP_SYSTEM_ERROR,activeThreads,clients,cpu,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
6,1,105,3,351,23689300000,0,65954,4,35796,318,137201,335,19,88.6792,1,35309,65958,8824,7,0.01,219,1,3411400,290,283191000,69442100,1859350000
6,25,100,1,378,23689200000,0,66272,4,36078,43,3492,327,20,0,1,35612,66276,8824,7,0,88,25,772798,290,312344000,69463300,1843620000
6,44,100,0,391,23689100000,0,66315,4,36078,36,10949,316,19,0,1,35612,66319,8824,7,0.05,87,44,676474,290,346566000,69465400,1840150000
6,58,99,1,408,23689100000,0,66351,4,36078,42,4038,306,18,0,1,35590,66355,8824,7,0.02,87,58,768798,290,261548000,69466400,1839980000
6,74,99,1,422,23689000000,0,66393,4,36078,40,3970,302,17,0,1,35594,66397,8824,7,0.01,94,74,664896,290,299971000,69466400,1841120000
6,85,98,1,438,23688900000,0,66433,4,36078,45,4222,306,17,0,1,35600,66437,8824,7,0,113,85,764616,290,338327000,69466400,1843700000
6,1,98,1,350,23687900000,0,66478,4,36078,141,139909,314,18,73.7589,1,35604,66482,8824,7,0.22,124,1,1817440,290,367172000,69466400,1846030000
6,5,95,1,352,23687500000,0,66619,4,36182,84,4574,313,18,52.381,1,35696,66623,8824,7,0.08,111,5,1087870,290,314433000,69467700,1846080000
6,20,95,0,370,23687400000,0,66702,5,36225,31,5708,313,19,3.22581,1,35743,66707,8824,7,0.03,67,20,562136,290,337739000,69469700,1841340000
6,33,94,0,380,23687400000,0,66732,6,36225,22,5209,259,17,4.54545,1,35742,66738,8824,7,0.01,67,33,321866,290,355522000,69469700,1839720000
6,52,94,0,400,23687400000,0,66753,7,36225,19,3551,235,16,5.26316,1,35740,66760,8824,7,0.08,73,52,264662,290,375472000,69469700,1839890000
6,65,91,0,412,23687300000,0,66771,8,36225,17,4424,224,16,0,1,35738,66779,8824,7,0.03,85,65,316534,290,272621000,69469700,1841480000
6,83,91,0,430,23687300000,0,66788,8,36225,16,4077,216,16,0,1,35742,66796,8824,7,0.16,103,83,259292,290,294616000,69472600,1843660000
6,7,87,1,354,23686500000,0,66804,8,36225,114,148730,206,15,83.3333,1,35745,66812,8824,7,0.06,115,7,1243570,290,293674000,69490200,1846780000
6,10,87,1,357,23685900000,0,66918,8,36320,83,3625,217,15,66.2651,1,35841,66926,8824,7,0.02,113,10,1498730,290,261448000,69490200,1847610000
6,19,85,0,367,23685900000,0,67001,8,36375,17,4964,216,15,0,1,35900,67009,8824,7,0.11,56,19,354401,290,284879000,69490200,1840950000
6,36,85,1,383,23685800000,0,67018,8,36375,16,3192,198,14,0,1,35902,67026,8824,7,0.04,56,36,269051,290,309771000,69530700,1840220000
6,46,81,1,393,23685800000,0,67034,8,36375,10,5036,183,13,10,1,35866,67042,8824,7,0.02,66,46,165920,290,330655000,69572000,1841130000
6,57,81,0,404,23685800000,0,67043,9,36375,4,4245,179,14,25,1,35870,67052,8824,7,0.01,77,57,31783,290,345970000,69572900,1842530000
6,65,78,0,412,23685800000,0,67046,10,36375,0,4245,176,14,25,1,35869,67056,8824,7,0.17,85,65,203,290,360664000,69572900,1843370000
6,0,78,1,347,23685100000,0,67046,10,36375,85,174719,173,15,100,1,35869,67056,8824,7,0.21,93,0,914102,290,343185000,69572900,1845490000
6,7,76,0,354,23684800000,0,67131,10,36460,28,7773,178,15,82.1429,1,35952,67141,8824,7,0.21,59,7,313443,290,257055000,69572900,1838450000
6,17,76,0,364,23684800000,0,67158,11,36482,4,5,179,16,0,1,35977,67169,8824,7,0.14,37,17,46118,290,275881000,69572900,1835030000
6,24,74,0,371,23684800000,0,67162,11,36482,3,4,177,16,0,1,35979,67173,8824,7,0.05,44,24,34620,290,293394000,69572900,1834860000
6,30,74,0,377,23684800000,0,67165,11,36482,0,4,172,17,0,1,35981,67176,8824,7,0.02,51,30,198,290,307596000,69572900,1835550000
6,40,74,0,387,23684800000,0,67165,11,36482,0,4,166,17,0,1,35981,67176,8824,7,0.01,60,40,198,290,321659000,69572900,1836560000
6,45,74,0,392,23684800000,0,67165,11,36482,0,4,163,18,0,1,35981,67176,8824,7,0,65,45,197,290,335635000,69572900,1837230000
6,3,72,0,350,23684200000,0,67165,11,36482,61,165941,161,19,96.7213,1,35981,67176,8824,7,0,70,3,732162,290,293812000,69572900,1839460000
6,3,72,0,350,23684100000,0,67226,11,36541,16,6898,160,19,75,1,36033,67237,8824,7,0,40,3,205913,290,330258000,69572900,1836610000
6,8,69,0,355,23684100000,0,67242,11,36553,0,6898,156,19,75,1,36045,67253,8824,7,0,29,8,203,290,344509000,69572900,1834650000
6,10,69,0,357,23684100000,0,67242,11,36553,0,6898,155,20,75,1,36045,67253,8824,7,0,30,10,196,290,357477000,69572900,1834700000
6,12,67,0,359,23684000000,0,67242,11,36553,0,6898,149,21,75,1,36045,67253,8824,7,0,33,12,201,290,370561000,69572900,1834920000
6,12,67,0,359,23684000000,0,67242,11,36553,0,6898,142,22,75,1,36045,67253,8824,7,0,32,12,201,290,383599000,69572900,1834930000
6,12,65,0,359,23684000000,0,67242,11,36553,0,6898,132,22,75,1,36045,67253,8824,7,0,32,12,201,290,266568000,69572900,1834900000
6,0,65,0,347,23683900000,0,67242,11,36553,12,261089,114,22,100,1,36045,67253,8824,7,0,32,0,121377,290,294136000,69572900,1835030000
6,0,62,0,347,23683900000,0,67254,11,36565,0,261089,100,22,100,1,36053,67265,8824,7,0,29,0,206,290,310854000,69573400,1834850000
6,0,62,0,347,23683800000,0,67254,11,36565,1,1,90,22,100,1,36053,67265,8824,7,0,29,0,393,290,325051000,69573400,1835040000
6,0,61,0,347,23683800000,0,67254,12,36565,0,1,77,21,100,1,36054,67266,8824,7,0,29,0,195,290,338217000,69573400,1835040000
6,0,61,0,347,23683800000,0,67254,12,36565,0,1,74,22,100,1,36054,67266,8824,7,0,29,0,197,290,351200000,69573400,1835040000
6,0,60,0,347,23683800000,0,67254,12,36565,0,1,71,22,100,1,36054,67266,8824,7,0,29,0,197,290,363925000,69573400,1835130000
6,0,60,0,347,23683800000,0,67254,12,36565,0,1,66,23,100,1,36054,67266,8824,7,0,29,0,197,290,378341000,69573400,1835130000
6,0,57,0,347,23683800000,0,67254,12,36565,0,1,60,23,100,1,36054,67266,8824,7,0,29,0,197,290,265363000,69573400,1835130000
6,0,57,0,347,23683700000,0,67254,12,36565,0,1,59,24,100,1,36054,67266,8824,7,0.08,29,0,197,290,281125000,69573400,1835230000
6,0,57,0,347,23683700000,0,67254,12,36565,0,1,55,25,100,1,36054,67266,8824,7,0.03,29,0,198,290,294124000,69575700,1835360000
6,0,57,0,347,23683700000,0,67254,12,36565,0,1,43,24,100,1,36054,67266,8824,7,0.01,29,0,196,290,306999000,69575700,1835230000
6,0,54,0,347,23683700000,0,67254,12,36565,0,1,35,24,100,1,36054,67266,8824,7,0,29,0,198,290,319942000,69575700,1835160000
6,0,54,0,347,23683700000,0,67254,12,36565,0,1,27,24,100,1,36054,67266,8824,7,0,29,0,197,290,332789000,69575700,1835540000
6,0,52,0,347,23683700000,0,67254,12,36565,0,1,23,24,100,1,36054,67266,8824,7,0,29,0,196,290,346984000,69575700,1835470000
6,0,52,0,347,23683700000,0,67254,12,36565,0,1,20,24,100,1,36054,67266,8824,7,0,29,0,197,290,360622000,69575800,1835540000
6,0,52,0,347,23683600000,0,67254,12,36565,0,1,20,25,100,1,36054,67266,8824,7,0,29,0,196,290,376640000,69575800,1835670000
6,0,52,0,347,23683600000,0,67254,12,36565,0,1,20,26,100,1,36054,67266,8824,7,0.06,29,0,197,290,261932000,69575800,1835570000
6,0,52,0,347,23683600000,0,67254,12,36565,0,1,16,26,100,1,36054,67266,8824,7,0.02,29,0,198,290,275445000,69575800,1835630000
6,0,52,0,347,23683600000,0,67254,12,36565,0,1,10,25,100,1,36054,67266,8824,7,0.01,29,0,198,290,288665000,69575800,1835790000
6,0,50,0,347,23683600000,0,67254,12,36565,0,1,7,24,100,1,36054,67266,8824,7,0,29,0,198,290,302021000,69575800,1835790000
6,0,50,0,347,23683600000,0,67254,12,36565,0,1,7,25,100,1,36054,67266,8824,7,0,29,0,195,290,315284000,69575800,1835830000
6,0,47,0,347,23683600000,0,67254,12,36565,0,1,7,26,100,1,36054,67266,8824,7,0.49,29,0,194,290,329359000,69575800,1835890000
6,0,47,0,347,23683500000,0,67254,12,36565,0,1,7,27,100,1,36054,67266,8824,7,1.29,29,0,197,290,344602000,69575800,1836150000
6,4,51,0,351,23683500000,0,67254,12,36565,0,1,7,28,100,1,36054,67266,8824,7,0.47,29,4,196,290,358719000,69575800,1836360000
6,4,51,0,351,23683500000,0,67254,12,36565,0,1,1,22,100,1,36054,67266,8824,7,0.17,29,4,196,290,372005000,69575800,1836340000
6,4,50,0,351,23683500000,0,67254,12,36565,0,1,1,23,100,1,36054,67266,8824,7,0.06,29,4,195,290,384909000,69575800,1836360000
6,0,50,0,347,23683400000,0,67254,12,36565,4,138685,1,24,100,1,36054,67266,8824,7,0.02,29,0,111084,290,278901000,69575800,1836450000
6,0,48,0,347,23683400000,0,67258,12,36569,0,138685,1,25,100,1,36056,67270,8824,7,0.01,29,0,204,290,292450000,69575800,1836440000
6,0,48,0,347,23683400000,0,67258,12,36569,0,138685,1,26,100,1,36056,67270,8824,7,0,29,0,201,290,306480000,69575800,1836470000
6,0,48,0,347,23683300000,0,67258,12,36569,0,138685,1,27,100,1,36056,67270,8824,7,0,29,0,198,290,322624000,69575800,1836580000
6,0,48,0,347,23683300000,0,67258,12,36569,0,138685,1,28,100,1,36056,67270,8824,7,0,29,0,201,290,335396000,69575800,1836530000
6,1,49,0,348,23683300000,0,67258,12,36569,0,138685,1,29,100,1,36056,67270,8824,7,0,29,1,201,290,347663000,69575800,1836600000
6,0,49,0,347,23683300000,0,67258,12,36569,1,49129,1,30,100,1,36056,67270,8824,7,0,29,0,27921,290,362928000,69575800,1837110000
6,0,49,0,347,23683300000,0,67259,12,36570,0,49129,0,-1,100,1,36057,67271,8824,7,0,29,0,201,290,377389000,69575800,1837500000
6,0,49,0,347,23683300000,0,67259,12,36570,0,49129,0,-1,100,1,36057,67271,8824,7,0.05,29,0,199,290,261738000,69575800,1837500000
6,2,51,0,349,23683300000,0,67259,12,36570,0,49129,0,-1,100,1,36057,67271,8824,7,0.02,29,2,200,290,275449000,69575800,1837640000
