cpu,http_times,session_count,thread_count,used_memory
3,305,2396,70,102776888
3,487,2365,70,108056144
3,349,2363,66,133035288
3,363,2364,75,99145392
3,471,2389,70,127867384
4,472,2403,69,102289968
3,630,2426,70,124080680
4,685,2465,66,133680560
4,449,2506,76,131994624
3,757,2495,68,106894448
3,613,2493,67,124989768
3,491,2516,68,146262456
3,280,2541,64,117432272
3,454,2541,71,127007568
3,373,2545,66,123663336
3,362,2556,64,118906480
3,409,2568,69,138309480
3,538,2566,68,109470488
3,498,2575,65,127592856
3,497,2578,67,106977352
3,386,2611,62,131734448
3,1002,2620,59,151012472
3,909,2601,60,144177208
2,706,2571,73,116361552
3,489,2562,70,119355056
2,561,2534,72,152252656
3,352,2536,62,122540888
3,361,2524,66,147362112
3,728,2522,71,118502856
3,815,2508,71,119387848
3,804,2508,69,123444576
3,588,2501,80,160666992
3,576,2486,78,141957792
2,498,2490,72,129716352
3,262,2494,80,162518288
3,663,2486,67,166564664
3,705,2488,75,163744224
3,512,2453,68,137558328
3,397,2410,67,128085736
3,433,2391,75,149382112
3,503,2379,73,147961176
3,553,2367,77,126535632
3,336,2344,78,139659168
3,554,2324,73,133069872
3,213,2322,73,136228376
3,415,2331,75,162662040
3,303,2342,71,131566016
4,373,2379,78,144987928
3,647,2372,77,110568888
3,481,2363,77,95423584
3,807,2385,72,139198640
3,655,2376,77,102273088
3,390,2358,75,144298120
3,263,2372,78,143291432
3,540,2422,76,143246440
3,377,2469,75,145359848
3,524,2519,58,101267472
3,370,2530,72,156408800
3,551,2578,76,116562720
3,695,2608,75,157957480
3,424,2655,71,157270912
3,507,2660,79,150788648
3,568,2657,66,118110592
3,401,2703,76,150012208
3,441,2704,78,106955064
3,397,2727,70,112200544
3,305,2749,74,166493920
3,843,2778,78,157651376
3,459,2794,81,116217288
3,599,2835,83,121575576
3,387,2856,83,120019112
3,455,2905,82,167333728
3,644,2939,49,172672656
3,595,2978,44,130830008
4,628,3032,58,139155640
4,638,3134,90,157907760
2,845,3140,57,135838616
3,663,3181,56,171558992
4,435,3263,98,187336776
4,844,3320,103,166081968
4,1012,3365,57,140878784
2,368,3345,90,193779448
3,328,3392,90,152159584
3,417,3473,74,168241136
4,718,3529,79,171493792
3,1169,3563,40,165407552
2,171,3556,113,138725200
4,778,3611,106,170698296
3,672,3660,104,180038608
4,909,3687,54,197941880
4,467,3738,77,152118808
3,834,3759,52,142682544
3,752,3766,57,165173232
4,305,3786,68,163357560
4,405,3826,82,171616816
2,843,3781,45,166055736
2,506,3787,72,166966472
3,709,3796,60,159429808
3,422,3803,70,185982400
3,711,3819,76,177131128
3,383,3822,80,199689472
1,722,3764,57,231375400
2,870,3750,33,190822536
4,704,3778,67,163809976
3,619,3770,85,222938968
3,287,3782,83,182066432
3,777,3762,73,225523168
4,334,3792,75,177918320
3,866,3775,71,241639024
3,748,3730,52,230339904
2,590,3683,62,205759024
3,843,3678,85,238774680
2,1015,3649,74,243705296
2,468,3615,124,216450664
4,867,3681,64,226318200
4,811,3653,63,207577856
3,1217,3655,57,219603432
3,799,3655,92,206324968
3,1407,3612,58,218909648
2,1237,3514,23,245562720
2,229,3492,75,235421568
3,1012,3461,47,222123872
1,578,3421,61,234980672
1,301,3381,57,191936792
3,469,3411,52,210435120
3,1229,3365,15,225077488
