activeThreads,clients,cpu,fileDescriptors,free_disk_space,httpMeanTimes,httpSystemErrors,http_Gobal_Hits,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedPhysicalMemorySize
1,24,4,114,24222100000,234,0.440529,55002,0.33,29,1,8372680,5,121053000,1535080000
4,28,5,82,24220900000,180,0,55456,0.35,29,4,8254670,6,96573600,1536560000
4,24,4,75,24220100000,755,0,55863,0.29,29,5,8308510,6,101027000,1537660000
0,24,3,78,24219500000,387,0.292398,56201,0.3,29,0,8509890,6,103981000,1538360000
3,24,3,75,24218900000,95,0,56543,0.21,29,3,8186510,5,114362000,1539020000
1,27,3,77,24218200000,393,0.253807,56950,0.17,29,1,8350570,5,118079000,1539680000
2,25,4,115,24217500000,247,0,57344,0.16,29,2,8332780,5,124167000,1540530000
1,25,4,73,24216800000,200,0,57770,0.23,29,1,8159760,5,105387000,1541200000
3,28,4,80,24215900000,272,0,58177,0.35,29,3,8351290,5,109858000,1542530000
3,24,4,77,24215000000,561,0.558659,58566,0.29,29,4,8349710,5,125342000,1543330000
1,24,3,74,24214500000,162,0,58924,0.24,29,1,8339400,5,93852700,1543670000
1,25,3,75,24214000000,164,0,59322,0.09,29,1,8239000,5,101780000,1544340000
0,21,8,111,24213100000,254,0.246914,59723,0.27,29,0,8374710,5,105098000,1546570000
2,24,4,110,24212200000,103,0,60128,0.23,29,2,8251810,5,128654000,1549980000
3,23,4,78,24211200000,329,0.529101,60555,0.09,29,3,8268370,5,125623000,1551340000
1,21,3,72,24210500000,197,0,60933,0.14,29,1,8358730,5,105989000,1554100000
2,21,4,72,24209800000,79,0,61333,0.23,29,2,8319280,5,134235000,1554780000
3,26,3,82,24209200000,245,0,61798,0.16,29,3,8367690,7,114411000,1555870000
2,26,5,115,24208100000,464,0.251889,62217,0.06,29,3,8393200,7,129937000,1559120000
1,31,4,124,24207200000,477,0.257069,62614,0.19,29,1,8467270,8,133228000,1561760000
6,31,3,86,24206300000,606,0.30303,63003,0.48,29,6,8003830,8,117424000,1563420000
5,36,3,91,24205600000,614,0.27933,63333,0.29,30,5,8597500,8,133694000,1565300000
4,36,4,87,24204600000,771,0.552486,63691,0.35,30,4,8392450,8,83709500,1571200000
4,41,4,91,24203400000,424,0,64053,0.31,30,4,8370970,8,83954000,1575020000
3,41,3,91,24202600000,571,0.530504,64425,0.31,30,5,8085450,8,83447200,1577760000
8,46,3,92,24201800000,510,0.246305,64802,0.15,30,9,8497530,8,81305600,1579340000
5,46,3,83,24201200000,798,0.759494,65208,0.13,31,6,8291910,7,88673000,1579770000
6,51,6,102,24200300000,926,0.243309,65603,0.2,31,8,8414220,8,118253000,1582010000
4,51,3,131,24199400000,371,0.486618,66014,0.11,31,4,8492210,8,89552400,1582570000
7,56,3,130,24198600000,503,0.821918,66425,0.19,31,8,8274580,8,104056000,1583960000
5,56,3,90,24197800000,1197,1.40845,66790,0.17,32,5,8622110,5,126645000,1585470000
9,61,3,98,24197000000,697,0.52356,67145,0.18,33,10,8200460,6,83385000,1586480000
7,61,3,92,24196400000,806,0.511509,67527,0.07,33,8,8482190,6,110591000,1587150000
5,66,3,97,24195500000,1217,1.26904,67918,0.02,33,6,8631360,6,96975100,1588230000
3,66,3,101,24195000000,881,0.952381,68312,0.12,33,5,8488320,5,106183000,1588930000
8,71,4,101,24194100000,709,0.518135,68732,0.04,33,9,8410140,5,88866400,1589730000
5,71,3,88,24193500000,890,1.8617,69118,0.23,33,5,8443340,5,113135000,1590300000
10,76,4,101,24192600000,1019,0.735294,69494,0.09,34,11,8378740,5,126706000,1592250000
4,76,3,90,24192000000,1403,0.757576,69902,0.26,35,5,8482770,5,114639000,1592760000
6,81,3,99,24191100000,792,0.239808,70298,0.09,35,7,8425690,5,93299900,1593790000
10,81,4,99,24190300000,685,0.777202,70715,0.13,35,10,8254690,5,125629000,1595020000
12,86,4,110,24189300000,1187,1.26263,71101,0.3,35,12,8722590,5,111056000,1596700000
8,86,3,98,24188500000,1282,1.02564,71497,0.11,35,8,8746160,5,104855000,1597600000
11,91,4,103,24187500000,1410,1.52672,71887,0.04,36,12,8347850,5,118560000,1599660000
17,91,2,122,24187000000,1745,3.59281,72280,0.47,39,18,3946400,5,126093000,1602640000
7,96,3,105,24186300000,2513,2.66667,72447,0.21,39,9,6889210,6,101280000,1603560000
16,96,1,124,24186000000,1735,3.0303,72747,0.46,39,18,3092640,6,133409000,1603750000
10,101,3,108,24185200000,2330,3.40909,72879,0.29,39,15,7035730,6,137331000,1605020000
8,101,3,112,24184600000,884,0.932401,73231,0.11,39,9,8800090,5,125118000,1605800000
9,106,3,108,24183700000,1042,0.78329,73660,0.29,39,10,8752270,5,140499000,1605430000
5,106,3,106,24183100000,1139,0.480769,74043,0.34,39,6,8441610,5,130313000,1608720000
12,111,2,99,24182600000,1090,2.29358,74459,0.42,39,12,4751100,5,123836000,1609600000
11,111,3,113,24182000000,780,2.7027,74677,0.41,41,12,5850040,6,154111000,1615720000
13,116,4,114,24181100000,874,0.464037,74973,0.24,41,14,8559220,6,138373000,1614620000
5,116,3,106,24180500000,2500,0.724638,75404,0.59,41,5,8757910,8,135304000,1617920000
9,121,3,121,24179700000,676,0.898876,75818,0.37,43,11,8585810,19,150234000,1621510000
2,121,3,151,24179100000,1196,1.27877,76263,0.28,43,3,8312220,19,125044000,1623020000
9,126,4,122,24178200000,762,1.41844,76654,0.14,43,10,8454460,17,145774000,1624290000
6,126,3,107,24177400000,1046,1.07239,77077,0.12,43,6,8672140,14,148341000,1627950000
1,131,3,94,24176700000,844,1.33333,77450,0.17,43,2,8075480,10,151001000,1628170000
7,131,4,150,24175700000,894,0.477327,77825,0.18,43,7,8761210,12,139275000,1632420000
9,136,4,102,24174900000,919,1.5625,78244,0.06,43,9,7883920,12,99709200,1633150000
3,136,4,92,24174100000,1527,0.519481,78628,0.09,44,5,8452590,13,125648000,1636250000
9,141,4,162,24173100000,955,2.34375,79013,0.62,51,11,8246560,29,87721100,1639420000
4,141,3,176,24172400000,956,1.76322,79397,1.15,51,5,8734890,29,131674000,1639940000
0,146,3,163,24171800000,517,1.02564,79794,0.81,51,0,8245920,27,101377000,1640000000
2,146,3,145,24170700000,793,2.80899,80184,0.98,51,5,8071400,36,114735000,1644020000
9,151,1,121,24170300000,593,2.85714,80540,0.54,51,10,2666660,36,95370300,1646470000
