cpu,session_count,thread_count,used_memory,client
2,1444,6,264431984,50
3,1416,9,142911376,40
1,1384,6,151146248,30
1,1379,94,182323112,20
1,1378,61,201231200,10
2,1395,113,146222040,10
2,1382,97,159562928,0
1,1336,66,184733840,0
2,1388,50,143233760,0
2,1403,61,164411296,0
4,1434,65,199323096,0
2,1476,100,160956544,0
2,1522,78,151640136,0
2,1535,72,172325696,0
1,1568,15,214980024,0
4,1601,85,181381384,0
3,1657,92,161414328,0
2,1712,76,198075552,0
3,1741,56,181102896,0
3,1736,73,239194816,0
3,1766,75,206982696,0
2,1829,60,175170992,0
2,1868,63,177027552,0
1,1895,54,215134880,0
2,1946,111,212555120,0
2,2021,47,176698064,0
2,2110,40,190591824,0
2,2189,33,238261616,0
2,2217,37,196624280,0
2,2281,60,191469320,0
1,2235,61,190819432,0
1,2246,16,203132040,0
0,2230,20,184565872,0
2,2336,86,256567256,0
3,2395,54,208224272,0
2,2429,45,198286272,0
2,2430,110,184013816,0
2,2437,85,214943744,0
2,2501,74,270065944,0
1,2418,22,207134624,0
1,2384,26,193923152,0
2,2360,49,243517536,0
1,2300,11,277015184,0
1,2277,22,222789712,0
2,2274,14,195332864,0
2,2276,32,236850232,0
2,2234,25,198841136,0
2,2206,28,259171864,0
1,2146,6,215217064,0
1,2079,8,266689824,0
2,2001,6,199841728,0
2,1942,7,222968688,0
2,1904,6,232859808,0
3,1872,6,290665064,0
1,1794,6,220718216,0
1,1684,6,290194880,0
1,1607,8,302170088,0
1,1537,6,294675472,0
1,1438,6,237004072,0
2,1420,7,274958696,0
4,1404,15,250555200,0
5,1465,57,175051392,0
1,1434,34,185387512,0
1,1362,63,198263672,0
2,1328,21,205705200,0
3,1422,115,195185264,0
2,1416,8,152931064,0
1,1409,18,206422424,0
1,1357,83,169112680,0
2,1418,44,218698944,0
1,1459,52,220979288,0
2,1486,119,179457496,0
1,1497,93,224295120,0
1,1500,142,184750928,0
4,1631,83,229982144,0
2,1674,42,251710232,0
2,1692,56,267520792,0
2,1716,67,219418968,0
2,1701,9,212378432,0
2,1804,71,204979296,0
2,1876,57,242811464,0
3,2001,65,233492200,0
3,2108,39,203254248,0
2,2175,39,194946376,0
2,2243,33,233399136,0
3,2352,89,245134128,0
2,2440,69,266024864,0
2,2504,67,224035952,0
4,2696,76,232632552,0
3,2800,40,264274280,0
2,2860,46,215534184,0
3,2919,93,266359624,0
2,2920,41,295617192,0
3,3002,43,273329824,0
3,3044,100,265357728,0
3,3086,84,306363800,0
1,2991,26,290572720,0
1,2939,20,220693616,0
2,2978,7,219367872,0
1,2911,7,241479408,0
1,2868,6,251971024,0
1,2756,6,220489792,0
1,2684,6,234591840,0
1,2621,6,278600584,0
1,2510,6,270729328,0
6,2450,97,202249008,0
1,2402,67,186594936,0
1,2403,106,205232424,0
3,2446,97,225185616,0
3,2462,49,220646848,0
2,2451,48,243354096,0
1,2383,42,189658104,0
0,2258,28,165555080,0
0,2180,78,246938904,0
1,2143,168,162986504,0
4,2218,52,245146552,0
3,2199,117,179782416,0
0,2117,54,241352648,0
0,2000,42,226474024,0
1,1919,95,261519744,0
1,1855,116,194716608,0
1,1857,26,204672336,0
2,1843,65,237486960,0
3,1877,46,263324560,0
1,1810,58,248685536,0
1,1770,44,222251736,0
1,1651,29,277668080,0
1,1651,29,277668080,0
0,1708,6,236134608,0
0,1708,6,236134608,0
0,1708,6,236134608,0
0,1708,6,236134608,0
1,1725,8,240462816,0
0,1733,27,220267696,0
1,1710,56,242278504,0
2,1540,53,282094656,0
2,1540,53,282094656,0
2,1540,53,282094656,0
2,1540,53,282094656,0
2,1578,72,240468984,0
2,1643,42,279410936,0
1,1656,10,303489904,0
2,1642,45,300475264,0
2,1575,41,283607032,0
2,1616,51,261274808,0
1,1644,38,236879384,0
0,1617,25,275900184,0
2,1617,50,277669104,0
1,1601,50,241656552,0
1,1552,99,248658160,0
1,1437,43,250792144,0
1,1349,29,274491328,0
0,1312,48,241167624,0
2,1340,89,307149672,0
3,1409,52,122808176,0
3,1486,60,214774400,0
2,1523,53,158057656,0
1,1555,59,138167464,0
1,1565,52,175767272,0
0,1557,54,132432192,0
1,1574,104,145866928,0
1,1593,102,184549528,0
1,1609,83,186181200,0
1,1621,75,223706064,0
1,1644,67,166844120,0
1,1680,52,169383928,0
1,1663,18,193379432,0
0,1653,53,220525280,0
1,1625,82,145004536,0
1,1592,83,226317288,0
3,1661,158,167957312,0
5,1837,114,236678840,0
3,1887,113,180613792,0
1,1882,42,210727008,0
3,1920,85,183885456,0
2,1905,25,258826336,0
4,2078,140,261600232,0
0,2167,93,195333184,0
2,2244,94,210311064,0
3,2322,57,246720312,0
1,2389,117,228526624,0
0,2417,56,227332744,0
3,2477,76,209436328,0
3,2570,43,222218208,0
2,2547,27,218707664,0
2,2553,64,286512576,0
2,2510,55,227303280,0
2,2500,57,232763280,0
3,2551,65,294308784,0
3,2625,6,269675496,0
2,2603,6,241675176,0
1,2584,6,263519328,0
2,2559,6,272354808,0
1,2529,6,294586176,0
1,2482,6,236125784,0
1,2411,6,268940872,0
1,2372,6,299318896,0
1,2367,6,224134712,0
1,2346,6,239211096,0
7,2337,9,275147184,0
4,2279,55,159517840,0
2,2090,115,146482264,0
2,2037,122,223029880,0
2,2005,154,158635192,0
4,2078,157,189211448,0
2,2044,130,196672288,0
2,2035,158,221148056,0
1,1908,153,206181680,0
4,1973,135,182595440,0
4,2052,138,220856896,0
3,2116,123,196239616,0
2,2096,127,196447224,0
2,2189,130,222276088,0
2,2147,43,198283240,0
2,2140,55,226583528,0
2,2133,52,191018056,0
2,2167,45,211403992,0
2,2191,49,254604752,0
2,2166,47,221058192,0
3,2123,68,203460016,0
2,2170,42,218971712,0
2,2221,49,227225256,0
2,2314,53,188587800,0
1,2315,45,195144936,0
2,2376,102,229312728,0
1,2395,15,213768224,0
1,2416,33,188168888,0
0,2464,50,244057056,0
2,2502,53,246658944,0
3,2496,40,264861256,0
3,2518,40,213754064,0
3,2458,43,283195816,0
8,2484,7,274940464,0
2,2407,6,285115288,0
1,2309,9,254864176,0
2,2187,8,291098040,0
3,2142,6,302066744,0
1,2081,7,239147952,0
1,1951,6,282017872,0
5,1885,53,153038760,0
1,1750,35,157313592,0
1,1666,51,149982872,0
1,1601,18,164146688,0
3,1628,155,181600968,0
1,1601,157,165818744,0
2,1604,39,220932016,0
1,1627,156,208245696,0
3,1642,107,230554080,0
1,1624,50,171254368,0
1,1600,14,180325264,0
1,1579,86,218709704,0
2,1605,45,188582944,0
1,1566,86,225605248,0
1,1564,63,242787648,0
3,1679,76,257030000,0
3,1710,63,258566024,0
3,1805,68,199996448,0
2,1864,69,236679232,0
2,1873,48,254048176,0
1,1868,19,267404816,0
1,1904,135,266065384,0
2,1931,63,181372712,0
1,1968,59,251625176,0
1,1982,137,229413784,0
1,2021,80,195949136,0
3,2128,65,220994872,0
2,2207,61,278753616,0
2,2252,37,268250432,0
2,2341,38,241607576,0
3,2336,53,220577944,0
2,2364,51,218952920,0
2,2402,33,214446040,0
1,2383,50,216282928,0
2,2373,65,244309544,0
1,2299,21,276437208,0
3,2210,6,259704480,0
1,2173,6,243923448,0
1,2064,6,238574792,0
1,1996,6,283062728,0
1,1978,6,275383560,0
1,1928,6,284677920,0
2,1843,6,227294832,0
1,1783,6,232310976,0
1,1746,6,220906712,0
1,1635,6,242990624,0
1,1526,15,241182576,0
5,1448,6,320912264,0
1,1375,6,236504728,0
1,1280,6,269845672,0
1,1228,6,257904176,0
1,1215,6,251597224,0
1,1126,6,244918576,0
2,1062,24,300114160,0
1,1012,6,318505640,0
4,1070,52,208359424,0
1,1003,50,168587720,0
1,978,157,206621120,0
3,1034,104,223413000,10
1,959,18,158228968,10
3,998,13,192661248,10
2,936,12,225331056,10
1,890,17,226822024,10
1,877,13,227820664,10
2,881,13,175324440,10
2,856,13,220975096,10
3,883,15,243119640,10
3,996,13,194999488,10
2,1006,13,225977880,10
2,1009,17,233148968,10
1,1022,14,226446904,10
2,1047,13,178549728,10
2,1058,13,216651912,10
2,1107,13,223736928,10
3,1223,12,235596072,10
3,1313,15,249378448,10
2,1386,16,226010400,10
2,1444,16,205858416,10
3,1538,13,241515056,10
3,1611,16,228778992,10
2,1676,14,169318912,10
3,1786,13,224043840,10
3,1890,13,214309984,10
2,1902,13,238677224,10
2,1913,15,170373968,10
1,1829,14,163431480,10
2,1821,13,202452056,10
2,1810,12,250001440,10
2,1735,12,165217824,10
3,1806,14,207471544,10
2,1708,13,162694752,10
2,1732,17,207858504,10
1,1717,13,207749712,10
2,1744,13,176779064,10
2,1779,13,189943176,10
3,1821,13,222998904,10
3,1889,13,179656984,10
3,1853,13,214887848,10
3,1933,13,252460912,10
2,1995,13,226321648,10
3,2175,12,185364776,10
3,2362,13,225685904,10
3,2556,11,190374520,10
2,2607,9,218843768,10
2,2502,8,195974816,10
2,2477,8,171931352,10
2,2377,8,228312696,10
2,2286,8,202432616,10
2,2234,8,174248272,10
2,2173,9,241712168,10
2,2076,8,207285800,10
2,2019,8,183094632,10
2,1914,8,247490592,10
2,1893,8,216032456,10
2,1885,9,190768896,10
2,1883,8,257522920,10
2,1880,8,224852944,10
2,1868,8,197155104,10
2,1841,8,261404872,10
2,1760,8,238531000,10
2,1735,9,201962992,10
2,1721,8,176944472,10
2,1712,8,238472824,10
2,1701,8,215055312,10
2,1670,8,180623120,10
2,1625,8,245646904,10
2,1528,9,220508520,10
2,1460,8,189489464,10
2,1393,8,248950568,10
2,1299,8,220869640,10
2,1161,8,191106952,10
2,974,8,252801720,10
2,768,8,227189640,10
2,623,8,200831544,10
2,619,8,262405304,10
2,622,9,237303744,10
2,621,8,203999320,10
2,619,8,177282592,10
2,623,8,241326696,10
2,619,8,212818976,10
2,621,8,183980152,10
2,623,8,253070592,10
2,618,8,221394688,10
2,619,8,194572696,10
2,619,8,257526704,10
2,621,8,232322744,10
2,620,8,202465040,10
2,620,9,264764928,10
2,621,9,237674096,10
2,619,8,212287248,10
2,621,9,183510928,10
2,618,8,246189688,10
2,619,8,217509728,10
2,623,8,188833408,10
2,621,8,254200552,10
2,623,8,224832640,10
2,621,9,196068120,10
2,618,8,253370952,10
2,618,9,219959264,10
2,619,9,188929880,10
2,616,9,240439760,10
2,620,9,206340872,10
2,619,8,265567808,10
2,617,9,233451984,10
2,618,8,199790328,10
2,617,8,268304520,10
2,616,8,241470288,10
2,619,8,210101008,10
2,616,8,268535216,10
2,618,9,236902760,10
2,619,8,208436768,10
2,618,8,181335104,10
2,617,8,240043232,10
2,616,8,212096952,10
2,616,8,188308184,10
2,618,8,249418968,10
2,615,8,217161024,10
2,617,8,191438688,10
2,620,8,259353544,10
2,616,8,228881640,10
2,618,9,198558336,10
2,615,8,260238808,10
2,619,9,233763224,10
2,620,8,206912944,10
2,616,9,179041536,10
2,619,8,243110704,10
2,620,8,220135880,10
2,618,8,188684608,10
2,620,9,249246992,10
2,614,8,213017088,10
2,615,8,186707088,10
2,620,8,255459224,10
2,617,8,225817808,10
2,620,8,190787320,10
2,621,8,259847064,10
2,618,8,229951016,10
2,620,8,202824768,10
2,616,8,259214664,10
2,620,9,239307288,10
2,624,8,204857144,10
2,623,9,272112744,10
2,625,8,241201592,10
2,623,8,219836584,10
0,584,6,248311064,10
1,563,6,213956976,10
0,541,12,272890192,10
0,523,6,206877392,10
0,501,6,235492592,10
0,480,6,264406136,10
0,459,6,201145864,10
0,441,6,230224720,10
0,421,12,187963528,10
0,399,7,228556432,10
0,378,7,189243544,10
0,359,12,256183744,10
0,339,6,194001448,10
0,298,12,255648856,10
1,276,12,221856984,10
0,260,6,254908168,10
1,239,6,202021440,10
0,215,6,232460288,10
0,197,6,261963192,10
0,175,6,199214752,10
0,153,6,228315168,10
0,135,6,257257472,10
0,111,6,194562488,10
0,95,6,223867280,10
0,70,6,252806328,10
0,50,6,189538536,10
0,30,6,218792808,10
0,9,6,247656160,10
0,1,6,184125784,10
0,1,6,213478944,10
0,1,6,242472744,10
0,1,6,271585736,10
0,1,6,206933656,10
0,1,6,236012432,10
0,1,6,265166456,10
0,1,6,201661048,10
0,1,6,230633248,10
0,1,6,259637040,10
0,1,6,196556536,10
0,1,6,225584688,10
0,1,6,254625312,10
0,1,6,191962880,10
0,1,6,220976968,50
1,1,8,212993848,50
0,1,8,242321136,50
0,1,8,271466432,50
0,0,8,209495160,50
0,0,8,239564504,50
0,0,8,268785096,50
0,0,8,204418640,50
0,0,8,233362464,50
0,0,8,262085840,50
0,0,8,198838320,50
0,0,8,227705456,50
0,0,8,256633824,50
0,0,8,193454800,50
0,0,8,222531424,50
0,0,8,251471560,50
0,0,8,188493448,50
0,0,8,217754056,50
0,0,8,246780848,50
0,0,8,183368072,50
0,0,8,212786488,50
0,0,8,241747184,50
0,0,8,271208672,50
0,0,8,206673296,50
0,0,6,235883224,50
1,0,6,225560680,50
0,0,6,254473864,50
0,0,6,190039608,50
0,0,6,218868136,50
0,0,6,247921176,50
0,0,6,184671440,50
0,0,6,213599544,50
0,0,6,242436688,50
0,0,6,182097008,50
0,0,8,232872152,50
1,0,8,199484120,50
0,0,8,228895584,50
0,0,8,257776696,50
0,0,8,195547600,50
0,0,8,224446160,50
0,0,8,253252848,50
0,0,8,190122136,50
0,0,8,219111592,50
0,0,8,248083344,50
0,0,8,184946496,50
0,0,8,214372384,50
0,0,8,243494176,50
0,0,8,272396664,50
0,0,8,207469856,50
0,0,8,236530704,50
0,0,8,265453488,50
0,0,8,202409856,50
0,0,14,232277240,50
0,0,8,264876152,50
0,0,8,201646088,50
0,0,6,263370816,50
1,0,6,256341888,50
0,0,6,190939800,50
0,0,6,219891064,50
0,0,6,248786992,50
0,0,6,186516336,50
0,0,6,215500744,50
0,0,6,244390128,50
0,0,6,208135888,50
1,0,6,193754616,50
