clients,cpu,httpMeanTimes,threadCount,usedMemory,httpSessions
600,0,70,86,173903000,739
600,1,114,75,146331000,676
600,1,153,77,139513000,614
600,1,103,77,145174000,583
600,2,169,82,191470000,567
600,1,223,88,196415000,512
600,1,343,94,200701000,420
600,1,343,94,200701000,420
600,1,240,94,213733000,390
600,2,80,94,165649000,347
600,1,105,94,196309000,350
600,1,131,94,207373000,317
600,2,132,94,166822000,319
600,1,68,94,182128000,332
600,1,74,94,176581000,327
600,2,92,94,211094000,330
600,1,72,94,207249000,331
600,1,142,94,222496000,342
600,1,143,94,206296000,346
600,1,130,94,217332000,360
600,1,148,94,185599000,360
600,0,88,90,214196000,360
600,0,23,71,239892000,358
600,0,111,71,188111000,351
600,0,73,42,199656000,344
600,0,43,25,205480000,340
600,1,56,46,190801000,345
600,1,331,55,251719000,389
600,1,331,55,251719000,389
600,1,115,55,150902000,406
600,1,115,55,150902000,406
600,1,338,64,129337000,425
600,1,230,64,127574000,430
600,1,230,64,127574000,430
600,1,137,64,125933000,438
600,0,48,42,175766000,426
600,0,48,42,175766000,426
600,1,192,48,165409000,436
600,0,110,50,137153000,435
600,2,130,69,183211000,461
600,2,130,69,183211000,461
600,1,290,70,197019000,462
600,2,303,73,188434000,474
600,1,99,73,151283000,485
600,3,215,84,157041000,505
600,2,155,87,206004000,521
600,1,151,90,193012000,519
600,1,159,94,188355000,514
600,1,121,95,201007000,524
600,3,183,95,239811000,566
600,1,388,95,231859000,567
600,0,84,95,208104000,572
600,1,142,94,203170000,585
600,4,234,94,212824000,600
600,2,327,94,245711000,626
600,1,110,94,244994000,641
600,2,400,94,195004000,662
600,1,286,94,230861000,675
600,1,430,94,147904000,657
600,1,381,94,126870000,645
600,0,92,93,164180000,634
600,1,196,92,153545000,642
600,1,175,92,131223000,646
600,0,337,92,175832000,642
600,1,163,91,179346000,643
600,1,131,91,184759000,653
600,2,244,93,173704000,695
600,1,969,97,185771000,713
600,1,319,97,156289000,743
600,0,97,94,195414000,737
600,1,473,93,190813000,739
600,1,473,93,190813000,739
600,1,830,93,168034000,712
600,1,312,91,223877000,681
600,1,312,91,223877000,681
600,1,297,84,229897000,686
600,1,480,94,208258000,675
600,1,468,49,211861000,668
600,1,468,49,211861000,668
600,0,115,49,173560000,639
600,1,187,52,165501000,612
600,1,829,52,227256000,610
600,1,251,52,223653000,622
600,0,497,52,193903000,607
600,0,173,53,173391000,601
600,0,163,54,227837000,591
600,1,652,55,180501000,616
600,1,640,59,207178000,627
600,1,640,59,207178000,627
600,1,1331,59,220326000,636
600,1,629,59,186884000,662
600,0,238,59,242023000,671
600,1,673,60,231597000,675
600,1,477,62,246756000,699
600,1,477,62,246756000,699
600,0,24,49,185019000,687
600,0,260,49,218407000,668
600,1,479,51,226906000,654
600,1,445,52,263854000,650
600,1,653,55,232976000,658
600,1,1356,58,194621000,680
600,1,262,58,266855000,661
600,2,821,63,127961000,665
600,2,690,63,133006000,695
600,1,1427,63,150652000,706
600,1,445,63,165120000,705
600,1,703,64,194254000,705
600,0,815,64,166644000,712
600,1,1143,65,189083000,720
600,1,1071,68,195948000,734
600,1,684,71,169720000,761
600,2,692,71,185681000,797
600,1,1092,71,146487000,814
600,1,898,71,156982000,816
600,0,132,71,208616000,824
600,1,309,78,178316000,851
600,2,392,78,193908000,885
600,1,395,78,180310000,870
600,1,56,78,189828000,863
600,1,158,79,176154000,849
600,1,327,79,190271000,828
600,1,229,79,166181000,819
600,2,246,80,210936000,835
600,1,177,80,232634000,822
600,1,109,80,228034000,825
600,2,250,82,243545000,852
600,2,109,82,231659000,890
600,2,258,82,189540000,902
600,3,123,82,209281000,926
600,2,268,83,247241000,924
600,1,79,83,218560000,907
600,1,104,84,234233000,917
600,0,26,67,253678000,909
600,0,64,67,224593000,858
600,1,107,68,250241000,844
600,1,66,68,216264000,856
600,1,74,68,190915000,853
600,1,93,70,227351000,863
600,2,171,73,139946000,884
600,1,124,75,180083000,900
600,1,106,75,181674000,893
600,1,115,77,201964000,868
600,1,82,77,144512000,856
600,1,79,77,141529000,842
600,0,50,77,200572000,851
600,1,76,77,201012000,837
600,1,110,78,157226000,797
600,1,86,78,164557000,793
600,1,151,79,155426000,781
600,1,103,80,164905000,777
600,1,103,80,164905000,777
600,1,155,84,231553000,789
600,1,73,84,170359000,798
600,3,92,84,185483000,816
590,3,173,84,192791000,843
580,2,193,84,221737000,854
570,1,153,84,205624000,818
560,1,119,84,210106000,807
550,1,184,89,223351000,781
540,1,124,89,215687000,738
530,4,75,89,256444000,743
520,1,62,89,242998000,716
520,1,62,89,242998000,716
510,1,67,89,206403000,745
500,2,111,90,216970000,748
490,1,89,90,240027000,754
480,2,156,93,259640000,765
470,1,71,93,249212000,755
460,3,40,93,172114000,757
450,2,125,93,129915000,761
440,1,86,93,175818000,765
430,2,82,94,175917000,780
420,2,57,94,156371000,781
410,3,43,94,196086000,820
400,2,75,94,164273000,840
390,2,70,94,211293000,859
380,3,43,94,228797000,882
370,2,21,94,187072000,897
360,2,73,94,174259000,912
350,3,38,94,168474000,934
340,2,20,94,229533000,957
330,2,55,94,224646000,974
320,2,23,94,204734000,974
310,3,41,94,216955000,990
300,2,17,94,202318000,987
290,2,31,94,212741000,985
280,3,20,94,211491000,1000
270,3,18,94,224149000,1028
260,3,18,94,235653000,1052
250,3,15,94,173485000,1083
240,3,13,94,193958000,1111
230,3,12,94,213976000,1136
220,3,38,94,251260000,1194
210,3,38,94,197105000,1233
200,3,65,94,223431000,1262
190,3,15,94,250617000,1309
180,3,12,94,206374000,1337
170,3,30,94,183380000,1384
160,3,177,94,194177000,1452
150,3,157,94,230335000,1494
140,3,326,94,253035000,1598
130,4,369,94,254508000,1701
120,4,684,94,222654000,1858
110,4,1138,94,225503000,2051
100,5,1247,94,232351000,2281
90,4,1738,94,220999000,2500
80,4,914,94,187651000,2651
70,3,1041,94,249300000,2719
60,2,302,94,247325000,2726
50,2,12,94,245946000,2691
40,2,18,94,266620000,2671
30,2,11,94,217233000,2658
20,2,66,94,209099000,2663
10,1,298,94,205120000,2649
0,1,283,94,265001000,2632
0,0,13,90,206421000,2596
0,0,13,25,211946000,2555
0,0,212,25,216412000,2508
0,0,212,25,221153000,2473
0,0,212,25,225413000,2428
0,0,212,25,229752000,2376
0,0,212,25,234037000,2331
0,0,212,25,238314000,2273
0,0,212,25,242678000,2205
0,0,0,25,246992000,2146
0,0,0,25,251746000,2085
0,0,0,25,256058000,2010
0,0,0,25,260390000,1954
0,0,0,25,264739000,1871
0,0,0,25,269023000,1785
0,0,0,25,200534000,1689
0,0,0,25,205081000,1553
0,0,0,25,209391000,1393
0,0,0,25,213726000,1185
0,0,0,25,218293000,922
0,0,0,25,222635000,652
0,0,0,25,226963000,415
0,0,0,25,231288000,236
0,0,11,25,235905000,154
0,0,11,25,240731000,130
0,0,11,25,244870000,129
0,0,11,25,249190000,117
0,0,11,25,253568000,83
0,0,11,25,257890000,38
0,0,11,25,262026000,23
0,0,11,25,266352000,0
0,0,11,25,270818000,0
0,0,11,25,275143000,0
