"_0","_1","_2","_3","_4","_5","_6","_7","_8","_9","_10","_11","_12","_13","_14","_15","_16","_17","_18","_19","_20","_21","_22","_23","_24","_25","_26","_27","_28","_29","_30","_31","_32","_33","_34","_35","_36"
"1.0","4.0","9.0","3.0","8.0","3.0","3.0","4.0","3.0","45.45454545454545","64.5","3.0","1.3888888888888888","4.0","3.0","2.0","3.0","3.0","0.6","2.0","2.0","2.0","1.0","1007.6666666666666","1.1666666666666667","87.0","0.0","55.0","355.05080213903744","2.0","1.0","3.0","2.0","3.0","1.0","3.0","2.0"
"1.0","5.0","3.0","4.0","3.0","3.0","3.0","5.0","3.0","41.916666666666664","54.8","3.0","1.3888888888888888","1.0","2.6666666666666665","3.0","3.0","4.0","0.4","2.0","1.0","3.0","1.0","1008.3333333333334","1.8333333333333333","82.0","0.0","55.0","936.443820224719","3.0","1.0","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","4.0","3.0","4.0","7.0","3.0","9.0","5.0","3.0","35.733333333333334","55.4","3.0","1.2777777777777777","1.0","2.3333333333333335","3.0","3.0","3.0","0.4","2.0","1.0","3.0","0.6666666666666666","1007.6666666666666","1.3333333333333333","98.0","0.0","42.0","708.171511627907","3.0","0.6666666666666666","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","4.0","3.0","4.0","9.0","3.0","3.0","5.0","3.0","44.18181818181818","54.6","4.0","1.7222222222222223","1.0","2.3333333333333335","3.0","4.0","4.0","1.2","2.0","1.0","3.0","1.0","1007.0","1.3333333333333333","101.0","0.0","49.0","386.3835616438356","3.0","0.6666666666666666","3.0","1.0","3.0","2.0","3.0","3.0"
"1.0","5.0","3.0","4.0","7.0","10.0","3.0","5.0","3.0","37.25","54.8","3.0","1.4444444444444444","1.0","2.3333333333333335","3.0","3.0","4.0","1.5","2.0","2.0","3.0","1.0","1008.0","2.3333333333333335","94.0","0.0","0.0","691.0454545454545","3.0","1.0","4.0","2.0","2.0","1.0","3.0","3.0"
"1.0","5.0","3.0","4.0","5.0","3.0","3.0","6.0","3.0","36.46666666666667","54.6","3.0","1.2941176470588236","3.0","2.6666666666666665","4.0","3.0","4.0","1.0","2.0","1.0","4.0","1.0","1007.6666666666666","1.1666666666666667","95.0","0.0","52.0","276.39473684210526","4.0","0.6666666666666666","0.0","1.0","3.0","2.0","3.0","3.0"
"3.0","4.0","3.0","4.0","4.0","3.0","3.0","4.0","3.0","35.8125","52.4","3.0","1.2222222222222223","1.0","3.0","3.0","3.0","4.0","0.6","2.0","1.0","3.0","1.0","1007.6666666666666","1.3333333333333333","0.0","0.0","61.0","253.08045977011494","3.0","1.0","3.0","2.0","3.0","1.0","9.0","3.0"
"1.0","5.0","3.0","4.0","8.0","3.0","3.0","5.0","4.0","44.46153846153846","54.8","3.0","1.2777777777777777","13.0","2.6666666666666665","3.0","3.0","3.0","0.4","2.0","13.0","4.0","1.0","1007.6666666666666","1.3333333333333333","118.0","0.0","50.0","240.1279761904762","3.0","1.0","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","4.0","3.0","4.0","4.0","3.0","3.0","4.0","17.0","39.642857142857146","54.4","3.0","1.1666666666666667","0.0","2.6666666666666665","3.0","4.0","4.0","0.2","2.0","0.0","3.0","1.0","1008.0","1.5","94.0","0.0","50.0","383.9488636363636","3.0","1.0","5.0","1.0","3.0","2.0","3.0","3.0"
"1.0","24.0","4.0","4.0","10.0","3.0","6.0","6.0","3.0","35.785714285714285","54.4","5.0","1.2941176470588236","1.0","2.6666666666666665","4.0","3.0","6.0","1.0","2.0","2.0","3.0","1.0","1008.3333333333334","1.5","108.0","0.0","52.0","1322.5398457583547","4.0","1.0","4.0","2.0","3.0","1.0","3.0","4.0"
"1.0","5.0","4.0","5.0","2.0","3.0","3.0","5.0","3.0","38.0","54.4","4.0","1.1666666666666667","1.0","2.3333333333333335","4.0","4.0","3.0","0.4","2.0","1.0","4.0","1.0","1007.3333333333334","1.1666666666666667","0.0","0.0","52.0","288.1736842105263","4.0","0.6666666666666666","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","5.0","4.0","4.0","2.0","3.0","3.0","5.0","3.0","37.625","53.8","4.0","1.7222222222222223","2.0","2.6666666666666665","4.0","4.0","3.0","0.8","2.0","1.0","3.0","1.0","1007.6666666666666","1.5","0.0","0.0","54.0","296.2275132275132","3.0","1.0","5.0","2.0","3.0","2.0","3.0","3.0"
"1.0","4.0","3.0","4.0","3.0","3.0","3.0","5.0","3.0","37.5","55.0","3.0","1.2777777777777777","2.0","2.6666666666666665","3.0","3.0","3.0","0.4","2.0","2.0","3.0","1.0","1007.3333333333334","1.6666666666666667","93.0","0.0","56.0","838.1520190023753","3.0","0.6666666666666666","3.0","2.0","16.0","1.0","3.0","3.0"
"1.0","5.0","3.0","5.0","2.0","3.0","3.0","4.0","3.0","36.285714285714285","56.6","3.0","1.4444444444444444","1.0","2.6666666666666665","3.0","3.0","3.0","0.8","2.0","1.0","3.0","1.0","1006.6666666666666","1.6666666666666667","0.0","0.0","54.0","172.5956873315364","3.0","1.0","8.0","1.0","3.0","1.0","3.0","3.0"
"1.0","4.0","4.0","4.0","10.0","3.0","3.0","4.0","4.0","42.93333333333333","53.8","3.0","2.0","2.0","2.3333333333333335","3.0","3.0","4.0","0.2","2.0","1.0","3.0","1.0","1006.6666666666666","1.3333333333333333","90.0","0.0","51.0","509.4186046511628","3.0","1.0","4.0","0.0","16.0","1.0","3.0","3.0"
