load,cpu,memory,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim
0.995833337,0.512899995,0.448583335,0.059729167,0,0.001,6.25E-04,0,0,8.33E-05,0.0045375,4.17E-04,0.0084125,0.165187499,0.0612625,0.210062496,0,0,0.275783331,0.0011,0.0012,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.016066667,0.0344,1.00E-04,0,0
0.804166655,0.393583332,0.426750004,0.054712499,1.25E-04,8.33E-04,5.83E-04,4.17E-05,0,0,0.0034125,2.50E-04,0.002454167,0.113074999,0.056725,0.234291668,0,0,0.275799998,0.0011,0.0014,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0194,0.03955,1.00E-04,0,3.00E-04
0.696250012,0.450933337,0.418499991,0.064529167,0,1.67E-04,7.50E-04,0,0,0,0.004966667,4.58E-04,0.007666667,0.013791667,0.0028875,0.243520834,0,0,0.275783331,0.0011,0.0014,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0034,0.0042,1.00E-04,0,0
0.5725,0.334566673,0.418599993,0.062666666,0,1.25E-04,5.83E-04,4.17E-05,0,0,0.003125,2.50E-04,0.002291667,0.013333333,0.00275,0.245083335,0,0,0.275699997,0.0011,0.0014,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0034,0.0043,1.00E-04,0,0
0.385416662,0.428400005,0.418650001,0.068708333,0,2.08E-04,5.00E-04,0,0,0,0.003245833,3.75E-04,0.009241666,0.009529167,0.0017875,0.245029166,0,0,0.275733331,0.0011,0.0014,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0034,0.0043,1.00E-04,0,0
0.639166678,0.530400001,0.41868334,0.040920833,0,2.50E-04,5.83E-04,0,0,0,0.004045833,3.33E-04,0.002045833,0.0186,0.003295833,0.246045833,0,0,0.275699997,0.0011,0.0014,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0034,0.004316667,1.00E-04,0,0
0.695833325,0.373749986,0.418816666,0.066879167,0,2.08E-04,7.08E-04,0,0,0,0.002916667,5.00E-04,0.007920833,0.015958333,0.003041667,0.244554167,0,0,0.275799998,0.0011,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.003483333,0.0044,1.00E-04,0,0
0.384166663,0.347516666,0.418700005,0.059437501,0,1.67E-04,5.42E-04,4.17E-05,0,0,0.004583333,2.92E-04,0.002254167,0.0160375,0.003091667,0.245029166,0,0,0.275849999,0.0011,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0044,1.00E-04,0,0
0.323333328,0.33889999,0.418750003,0.046458334,0,1.67E-04,5.42E-04,0,0,0,0.002791667,3.75E-04,0.006916667,0.0115,0.002416667,0.246062497,0,0,0.275849999,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.00445,1.00E-04,0,0
0.237916668,0.334883332,0.418733339,0.064841666,0,1.67E-04,7.08E-04,0,0,0,0.005079167,4.17E-04,0.002120833,0.0107375,0.001870833,0.244775,0,0,0.275833332,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0045,1.00E-04,0,0
