HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,fileDescriptors,free_disk_space,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
6,0,0,9,3,200,25363900000,158876,11,25923,481,22,999,13,0,3,0,25013,158887,8821,7,0.11,29,0,8269450,137,354016000,69212700,1763170000
6,0,1,13,3,198,25363300000,159357,11,25923,462,20,986,13,0,3,0,25015,159368,8821,7,0.14,29,1,7501610,135,270402000,69227400,1764020000
6,0,2,11,4,204,25362600000,159819,11,25923,338,244,1082,12,0,3,0,25012,159830,8821,7,0.13,29,2,8439980,137,298034000,69236700,1766330000
6,0,0,9,4,201,25361600000,160157,11,25923,403,211,1131,12,0,3,0,24959,160168,8821,7,0.11,29,0,8334960,137,338698000,69257500,1767350000
6,0,0,9,3,196,25361100000,160560,11,25923,418,31,1137,13,0,3,0,24984,160571,8821,7,0.04,29,0,8069610,134,339807000,69258500,1767840000
6,0,1,9,2,196,25360900000,160978,11,25923,290,148,1106,13,0,3,0,24991,160989,8821,7,0.02,29,1,8295340,134,284146000,69258700,1768240000
6,0,0,5,3,196,25360300000,161268,11,25923,420,17,1130,13,0,3,0,25012,161279,8822,7,0.01,29,0,8069310,134,338693000,69261600,1768960000
6,0,0,2,2,193,25359900000,161688,11,25923,250,16,1084,12,0,3,0,25020,161699,8822,7,0,29,0,4177170,134,340863000,69263000,1769310000
6,0,0,4,1,192,25359600000,161938,11,25923,126,16,1091,13,0,3,0,25013,161949,8822,7,0.1,29,0,2000690,133,327680000,69263000,1769600000
0,0,0,0,2,194,25358700000,0,0,0,204,23,1144,13,0,0,0,0,0,8822,7,0.08,29,0,4985790,134,307892000,69263800,1770660000
0,0,0,4,0,229,25358700000,204,0,0,27,15,1138,14,0,4,0,0,204,8826,7,0.03,29,0,416122,134,319749000,69270500,1771150000
0,0,0,4,2,196,25357800000,231,0,0,178,95,1155,13,0,4,0,0,231,8826,7,0.01,29,0,4620790,137,272688000,69271300,1772050000
0,0,0,4,1,196,25357600000,409,0,0,230,14,1160,14,0,4,0,0,409,8826,7,0.22,29,0,3499590,137,320327000,69271900,1772350000
0,0,0,2,1,192,25357500000,639,0,0,172,56,1176,15,0,3,0,0,639,8826,7,0.08,29,0,6841350,133,368723000,69271900,1772540000
0,0,0,5,1,191,25357300000,811,0,0,128,13,1158,15,0,3,0,0,811,8826,7,0.09,29,0,2140240,133,283849000,69271900,1772700000
0,0,0,7,2,195,25356600000,939,0,0,249,25,1181,15,0,3,0,0,939,8826,7,0.14,29,0,5323660,135,338950000,69271900,1773390000
0,0,0,8,2,195,25355900000,1188,0,0,377,15,1204,16,0,3,0,0,1188,8826,7,0.16,29,0,6601490,135,377176000,69275500,1774190000
0,0,0,6,3,195,25355000000,1565,0,0,288,154,1259,15,0,3,0,0,1565,8826,7,0.22,29,0,8455930,134,285217000,69275500,1775240000
0,0,0,9,2,194,25354700000,1853,0,0,315,22,1240,16,0,3,0,0,1853,8826,7,0.11,29,0,7475260,134,361945000,69275500,1775690000
0,0,0,6,3,199,25353900000,2168,0,0,375,71,1255,15,0,3,0,0,2168,8826,7,0.07,29,0,8185520,136,323784000,69275500,1776910000
0,0,0,8,2,196,25353500000,2543,0,0,347,19,1244,16,0,3,0,0,2543,8826,7,0.03,29,0,6097280,136,270426000,69275500,1777250000
0,0,0,11,2,198,25352900000,2890,0,0,334,78,1239,16,0,3,0,0,2890,8826,7,0.09,29,0,8081940,134,311722000,69275500,1778080000
0,0,0,15,4,198,25351700000,3224,0,0,349,145,1294,15,0,3,0,0,3224,8826,7,0.09,29,0,8278140,135,287814000,69296100,1779360000
0,0,1,12,3,204,25350600000,3573,0,0,409,144,1321,14,0,3,0,0,3573,8826,7,0.03,29,1,8367760,138,316680000,69296100,1780660000
0,0,1,15,2,202,25350100000,3982,0,0,421,85,1274,14,0,3,0,0,3982,8826,7,0.1,29,1,8399950,138,280076000,69296100,1781190000
0,0,1,13,3,203,25349300000,4403,0,0,378,197,1280,14,0,3,0,0,4403,8826,7,0.19,29,1,8256160,135,375493000,69307300,1782110000
0,0,2,14,2,203,25348900000,4781,0,0,405,106,1284,14,0,3,0,0,4781,8826,7,0.41,29,2,8394960,135,336055000,69314100,1782910000
0,0,0,17,2,201,25348400000,5186,0,0,305,377,1294,15,0.327869,3,0,0,5186,8826,7,0.15,29,0,8481070,133,378135000,69316800,1783660000
1,0,1,18,3,203,25347400000,5491,0,1,367,198,1342,14,0,3,0,0,5491,8826,7,0.29,29,1,8388720,135,375754000,69474800,1785070000
1,0,2,17,3,208,25346800000,5858,0,1,380,130,1348,14,0,3,0,0,5858,8826,7,0.33,29,2,8241560,135,390974000,69532700,1785950000
